Column1;Column17;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16
ID;Polycolor;Language;Label;Definition;Description;Governance level ID;Governance level Label;Codelist ID;Codelist label;Reference Source;Reference Link;Status ID;Status label;Parent ID;Successor ID;Predecessor ID
http://inspire.ec.europa.eu/codelist/LithologyValue/acidicIgneousMaterial;;en;acidic igneous material;;Igneous material with more than 63 percent SiO2.;http://inspire.ec.europa.eu/registry/governance-level/eu-legal;Legal (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;CGI Controlled Vocabulary;http://resource.geosciml.org/classifier/cgi/lithology/acidic_igneous_rock;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/igneousMaterial;;
http://inspire.ec.europa.eu/codelist/LithologyValue/acidicIgneousRock;;en;acidic igneous rock;;Igneous rock with more than 63 percent SiO2.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/acidicIgneousMaterial;;
http://inspire.ec.europa.eu/codelist/LithologyValue/alkaliFeldsparGranite;;en;alkali feldspar granite;;Granitic rock that has a plagioclase to total feldspar ratio less than 0.1. QAPF field 2.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/granitoid;;
http://inspire.ec.europa.eu/codelist/LithologyValue/alkaliFeldsparRhyolite;#CCA6F2;en;alkali feldspar rhyolite;;Rhyolitoid in which the ratio of plagioclase to total feldspar is less than 0.1. QAPF field 2.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/rhyolitoid;;
http://inspire.ec.europa.eu/codelist/LithologyValue/alkaliFeldsparSyenite;;en;alkali feldspar syenite;;Alkali feldspar syenitic rock that contains 0-5 percent quartz and no feldspathoid in the QAPF fraction. QAPF field 6.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/alkaliFeldsparSyeniticRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/alkaliFeldsparSyeniticRock;;en;alkali feldspar syenitic rock;;Syenitoid with a plagioclase to total feldspar ratio of less than 0.1. QAPF fields 6, 6*, and 6'.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/syenitoid;;
http://inspire.ec.europa.eu/codelist/LithologyValue/alkaliFeldsparTrachyte;;en;alkali feldspar trachyte;;Trachytoid that has a plagioclase to total feldspar ratio less than 0.1, between 0 and 5 percent quartz in the QAPF fraction, and no feldspathoid minerals. QAPF field 6.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/alkaliFeldsparTrachyticRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/alkaliFeldsparTrachyticRock;;en;alkali feldspar trachytic rock;;Trachytoid that has a plagioclase to total feldspar ratio less than 0.1. QAPF fields 6, 6', and 6*.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/trachytoid;;
http://inspire.ec.europa.eu/codelist/LithologyValue/alkaliOlivineBasalt;#7333E6;en;alkali olivine basalt;;Alkali olivine basalt is silica-undersaturated, characterized by the absence of orthopyroxene, absence of quartz, presence of olivine, and typically contains some feldspathoid mineral, alkali feldspar or phlogopite in the groundmass. Feldspar phenocrysts typically are labradorite to andesine in composition. Augite is rich in titanium compared to augite in tholeiitic basalt. Alkali olivine basalt is relatively rich in sodium.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/basalt;;
